Bulan,Jumlah Wisatawan
2020-01,875.913	
2020-02,823.161
2020-03,625.928
2020-04,192.049
2020-05,171.612
2020-06,319.482
2020-07,454.312
2020-08,525.792
2020-09,544.481
2020-10,596.479
2020-11,590.735
2020-12,697.181

